기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2013	중랑구	건설업	848	95	3,949	3,431	518	629	1,562	219	2,387	-	-	-	-	827	3,657	13	204	8	88
2013	중랑구	도매 및 소매업	5,766	2,224	16,296	8,755	7,541	5,156	10,769	599	5,146	10	378	1	3	5,504	12,798	44	720	218	2,778
2013	중랑구	운수업	6,080	238	12,618	12,062	556	5,997	6,520	69	5,933	14	165	-	-	6,042	10,758	7	1,092	31	768
2013	중랑구	숙박 및 음식점업	4,121	2,577	10,455	3,856	6,599	4,059	9,639	62	816	-	-	-	-	4,070	9,703	2	19	49	733
2013	중랑구	출판 영상 방송통신 및 정보서비스업	130	28	1,103	697	406	65	185	57	652	7	265	1	1	118	745	2	53	10	305
2013	중랑구	금융 및 보험업	156	20	1,931	714	1,217	32	63	78	1,280	46	588	-	-	50	246	11	170	95	1,515
2013	중랑구	부동산업 및 임대업	983	333	3,237	2,291	946	790	1,234	74	1,217	8	47	111	739	943	2,149	7	749	33	339
2013	중랑구	전문 과학 및 기술 서비스업	314	57	1,407	895	512	224	577	69	710	17	108	4	12	276	824	15	395	23	188
2013	중랑구	사업시설관리 및 사업지원 서비스업	224	56	2,317	1,460	857	139	487	77	1,537	4	249	4	44	202	1,042	8	747	14	528
2013	중랑구	공공행정 국방 및 사회보장 행정	41	1	3,322	2,411	911	-	-	-	-	41	3,322	-	-	41	3,322	-	-	-	-
